Retained Feature,Deleted Features
FAHFDEJI_02548_dgcM,FAHFDEJI_02650_tdk,FAHFDEJI_02549_smrA
GNOIHJGF_01813_group_31433,FAHFDEJI_02125_group_19926
FAHFDEJI_02193_group_29451,FAHFDEJI_02195_xanQ
FAHFDEJI_01058_group_15457,FAHFDEJI_03266_group_11280,FAHFDEJI_03267_agaC_2,FAHFDEJI_03268_sorB_1
GNOIHJGF_00827_yddE,FAHFDEJI_01991_narY,FAHFDEJI_01989_narU,FAHFDEJI_01990_narZ,FAHFDEJI_02200_uacT,FAHFDEJI_02201_yqfG,FAHFDEJI_03966_yiaB,FAHFDEJI_02202_idi
FAHFDEJI_02936_epsE_1,FAHFDEJI_02938_epsG
FAHFDEJI_04673_group_8715,FAHFDEJI_04672_group_8603
FAHFDEJI_03513_group_34310,FAHFDEJI_03509_dsrB,FAHFDEJI_03514_yedI,FAHFDEJI_03515_yedA,FAHFDEJI_03510_group_26066,FAHFDEJI_03508_rcsA,FAHFDEJI_03507_fliR
FAHFDEJI_00453_cusA,FAHFDEJI_00454_cusB
FAHFDEJI_02727_ymgD,FAHFDEJI_02726_group_25311
HAHPNAHD_02527_group_27465,KBLLEKBH_00877_group_21394
ECKICHIN_03119_group_8857,ECKICHIN_03120_group_24248
FAHFDEJI_00962_rcsD,FAHFDEJI_00961_rcsB
FAHFDEJI_00758_eutL,FAHFDEJI_00759_eutK,FAHFDEJI_00757_eutC,FAHFDEJI_00756_eutB
FAHFDEJI_01716_cdgI,FAHFDEJI_01715_dgcJ
LPIMNHIN_01842_group_33620,LPIMNHIN_02676_group_33022
FAHFDEJI_03452_flhC,FAHFDEJI_03451_motA
FAHFDEJI_03603_group_8834,FAHFDEJI_03609_hbd,FAHFDEJI_03604_ppsE,FAHFDEJI_03599_srfAA,FAHFDEJI_03606_fenF,FAHFDEJI_03605_grsB,FAHFDEJI_03611_dltA_2
FAHFDEJI_03763_group_32619,FAHFDEJI_00811_rhaR_1,FAHFDEJI_01757_astD,FAHFDEJI_01027_group_35384,FAHFDEJI_02494_xylB_2,IHEMNIJO_02139_glpG_1,FAHFDEJI_01569_yadM
FAHFDEJI_00746_eutQ,FAHFDEJI_00744_eutS,FAHFDEJI_00749_eutM,FAHFDEJI_00745_pduV,FAHFDEJI_00747_group_23697
FAHFDEJI_02052_group_15425,FAHFDEJI_03982_siaM
FAHFDEJI_02771_tdcC,FAHFDEJI_02775_tdcG,FAHFDEJI_02774_tdcF,FAHFDEJI_02773_tdcE,FAHFDEJI_02772_tdcD
FAHFDEJI_03990_adhB,FAHFDEJI_03988_aldB
