,Balanced Accuracy,Accuracy,F1 Score,Sensitivity (Recall),Specificity,Precision (PPV),TP,TN,FP,FN,NPV,LR+,LR-,ROC AUC,PRC AUC,PRC APS
Decision Tree,0.9181818181818182,0.923728813559322,0.9333333333333333,1.0,0.8363636363636363,0.875,63.0,46.0,9.0,0.0,1.0,6.111111111111109,0.0,0.929004329004329,0.9165597754718888,0.8909461634116012
Extreme Gradient Boosting,0.8354978354978355,0.8305084745762712,0.8275862068965516,0.7619047619047619,0.9090909090909091,0.8979591836734694,48.0,50.0,5.0,15.0,0.7692307692307693,7.682539682539679,0.261904761904762,0.9393939393939394,0.9181327544060649,0.9172516638663575
K-Nearest Neighbors,0.8705627705627705,0.8728813559322034,0.8837209302325582,0.9047619047619048,0.8363636363636363,0.8636363636363636,57.0,46.0,9.0,6.0,0.8846153846153846,5.5291005291005275,0.11387163561076605,0.9132756132756134,0.919425156570298,0.8834015408576292
Logistic Regression,0.7694083694083693,0.7796610169491526,0.8169014084507041,0.9206349206349206,0.6181818181818182,0.7341772151898734,58.0,34.0,21.0,5.0,0.8717948717948718,2.4111866969009825,0.12838468720821672,0.8574314574314573,0.8970787294762008,0.8833789615636471
Random Forest,0.8717171717171717,0.8728813559322034,0.8818897637795274,0.8888888888888888,0.8545454545454545,0.8688524590163934,56.0,47.0,8.0,7.0,0.8703703703703703,5.783730158730157,0.1300236406619386,0.9291486291486292,0.913326245801668,0.9124234666242846
