,Balanced Accuracy,Accuracy,F1 Score,Sensitivity (Recall),Specificity,Precision (PPV),TP,TN,FP,FN,NPV,LR+,LR-,ROC AUC,PRC AUC,PRC APS
Decision Tree,0.003915651176322135,0.0048927988914374936,0.0052486388108147495,0.018328579974273833,0.010497277621629563,0.005229622003529243,1.1547005383792515,0.5773502691896257,0.5773502691896257,1.1547005383792515,0.02356531710978067,0.31502246830783165,0.021448338267767254,0.0032683265953553334,0.013012158523121745,0.004454240439812391
Extreme Gradient Boosting,0.05907435953462742,0.06582587682333922,0.07607791592953159,0.15899448890282245,0.04198911048651825,0.01595039831734282,10.016652800877813,2.309401076758503,2.309401076758503,10.016652800877813,0.14779906856428573,1.162565227036084,0.1748939377931047,0.003998962903477907,0.014441969176615613,0.012188773484537273
K-Nearest Neighbors,0.07696831365254592,0.08009856993648491,0.08265344653637231,0.12329291214530208,0.03149183286488862,0.04314787667316455,7.767453465154029,1.7320508075688772,1.7320508075688772,7.767453465154029,0.1238573679692209,1.38574525488005,0.16000811363513417,0.027411837183722067,0.019767736207059888,0.002456094793088811
Logistic Regression,0.13101284982033815,0.12749473555250573,0.10153353058927045,0.07936507936507936,0.18302628933989695,0.11534795357595336,5.0,10.066445913694333,10.066445913694333,5.0,0.1390257927061477,2.406429017195568,0.16942972247005608,0.049445983825566565,0.019173330862070286,0.02944306205181556
Random Forest,0.019442001361805673,0.021327215918843928,0.023083347212850658,0.047619047619047616,0.010497277621629563,0.003943581149892305,3.0,0.5773502691896257,0.5773502691896257,3.0,0.047732042491246025,0.20872760827517436,0.054918796550698666,0.0016410507079588745,0.006672383269913444,0.005550573567190791
