,Balanced Accuracy,Accuracy,F1 Score,Sensitivity (Recall),Specificity,Precision (PPV),TP,TN,FP,FN,NPV,LR+,LR-,ROC AUC,PRC AUC,PRC APS
Decision Tree,0.9159211159211159,0.9209039548022598,0.9303030303030303,0.9894179894179894,0.8424242424242424,0.8780193236714976,62.333333333333336,46.333333333333336,8.666666666666666,0.6666666666666666,0.9863945578231292,6.292989417989416,0.012383203872565576,0.9294372294372295,0.9211946417548376,0.890809174622226
Extreme Gradient Boosting,0.8524771524771525,0.8502824858757062,0.8488779419813902,0.8201058201058201,0.8848484848484848,0.8928731870106533,51.666666666666664,48.666666666666664,6.333333333333333,11.333333333333334,0.8312894834633965,7.391534391534389,0.1978835978835979,0.9370851370851372,0.9127613648093345,0.9119900423049612
K-Nearest Neighbors,0.8429533429533429,0.844632768361582,0.8537815806092206,0.8677248677248677,0.8181818181818181,0.8427227944469324,54.666666666666664,45.0,10.0,8.333333333333334,0.8532051282051282,4.93092298647854,0.16565821924770358,0.8996632996632997,0.9086928920590498,0.8841794822526088
Logistic Regression,0.7815295815295815,0.7909604519774012,0.8270897415142194,0.9206349206349206,0.6424242424242423,0.7518395595348358,58.0,35.333333333333336,19.666666666666668,5.0,0.8646723646723646,3.372603191979217,0.15472000766118416,0.8857623857623858,0.9002011429711063,0.8839067635268945
Random Forest,0.8686868686868686,0.8700564971751412,0.8791639440785243,0.8888888888888888,0.8484848484848484,0.8704998392799743,56.0,46.666666666666664,8.333333333333334,7.0,0.8716439246263807,5.872648442092885,0.13056204083031098,0.9286676286676286,0.9114301007555592,0.9115229058901718
