Balanced Accuracy,Accuracy,F1 Score,Sensitivity (Recall),Specificity,Precision (PPV),TP,TN,FP,FN,NPV,LR+,LR-,ROC AUC,PRC AUC,PRC APS
0.8895121951219511,0.89171974522293,0.881118881118881,0.84,0.9390243902439024,0.9264705882352942,63,77,5,12,0.8651685393258427,13.775999999999987,0.17038961038961042,0.9271544715447154,0.938232095831472,0.9386197313745922
0.9022764227642277,0.9044585987261147,0.8951048951048952,0.8533333333333334,0.9512195121951219,0.9411764705882353,64,78,4,11,0.8764044943820225,17.493333333333318,0.15418803418803415,0.9554471544715447,0.9611297195462059,0.961349298570149
0.9014814814814814,0.9038461538461539,0.8936170212765958,0.84,0.9629629629629629,0.9545454545454546,63,78,3,12,0.8666666666666667,22.679999999999968,0.1661538461538462,0.931687242798354,0.9536590261046974,0.9538642241529208
