,Balanced Accuracy,Accuracy,F1 Score,Sensitivity (Recall),Specificity,Precision (PPV),TP,TN,FP,FN,NPV,LR+,LR-,ROC AUC,PRC AUC,PRC APS
Decision Tree,0.8378500451671184,0.8404649137133213,0.822934398923146,0.7777777777777778,0.8979223125564589,0.8747738959006565,58.333333333333336,73.33333333333333,8.333333333333334,16.666666666666668,0.8159434641286957,7.738412698412699,0.24758833079655,0.8903452775268493,0.906721662550832,0.8699514015760705
Extreme Gradient Boosting,0.8938813610358326,0.8957754913168926,0.8864528807583689,0.8488888888888889,0.9388738331827763,0.927655717272849,63.666666666666664,76.66666666666667,5.0,11.333333333333334,0.871114281129779,16.42666666666665,0.16151690151690148,0.9353146642577537,0.9484196092950318,0.9487099068374516
K-Nearest Neighbors,0.8634537789822343,0.8659290108334694,0.8514005122432665,0.8044444444444444,0.9224631135200241,0.9056712962962963,60.333333333333336,75.33333333333333,6.333333333333333,14.666666666666666,0.8379208719485924,10.695999999999996,0.2115028899028899,0.9151366723543778,0.9309464087835567,0.9062481722272934
Logistic Regression,0.8818899929740038,0.8829413686101585,0.8753945634519322,0.8577777777777779,0.9060022081702299,0.8939220911051897,64.33333333333333,74.0,7.666666666666667,10.666666666666666,0.8738892040083192,9.584211640211645,0.15717971611344475,0.9345076784101175,0.938155085241511,0.9391086309772799
Random Forest,0.8977566997892201,0.9000081659317328,0.889946932500124,0.8444444444444444,0.9510689551339957,0.9407308377896614,63.333333333333336,77.66666666666667,4.0,11.666666666666666,0.8694132334581773,17.983111111111093,0.1635771635771636,0.9380962896048713,0.9510069471607918,0.9512777513658873
