,Balanced Accuracy,Accuracy,F1 Score,Sensitivity (Recall),Specificity,Precision (PPV),TP,TN,FP,FN,NPV,LR+,LR-,ROC AUC,PRC AUC,PRC APS
Decision Tree,0.850650406504065,0.8535031847133758,0.8368794326241135,0.7866666666666666,0.8902439024390244,0.8732394366197183,59.0,73.0,9.0,16.0,0.8241758241758241,7.439999999999997,0.23324444444444448,0.8849382716049382,0.9112433393801236,0.8592016713839414
Extreme Gradient Boosting,0.9081481481481481,0.9102564102564102,0.9014084507042254,0.8533333333333334,0.9512195121951219,0.9420289855072463,64.0,78.0,4.0,11.0,0.8764044943820225,17.76666666666665,0.15230769230769226,0.9370731707317073,0.9469116694676084,0.9472475990992347
K-Nearest Neighbors,0.8628455284552845,0.8662420382165605,0.8489208633093526,0.7866666666666666,0.9259259259259259,0.90625,59.0,75.0,6.0,16.0,0.8279569892473119,10.44,0.22718614718614724,0.9182113821138211,0.9387835741377145,0.9254361600974583
Logistic Regression,0.8839837398373984,0.8853503184713376,0.8767123287671234,0.8533333333333334,0.9146341463414634,0.9014084507042254,64.0,75.0,7.0,11.0,0.872093023255814,9.996190476190481,0.1603555555555555,0.928888888888889,0.9473057787831628,0.9475689433650557
Random Forest,0.9014814814814814,0.9038461538461539,0.8936170212765958,0.84,0.9512195121951219,0.9411764705882353,63.0,78.0,4.0,12.0,0.8666666666666667,17.493333333333318,0.1661538461538462,0.931687242798354,0.9536590261046974,0.9538642241529208
