,Statistic,P-Value,Sig(*)
Balanced Accuracy,9.8,0.043935,*
Accuracy,9.458557,0.050606,
F1 Score,9.6,0.047733,*
Sensitivity (Recall),8.03607,0.090266,
Specificity,7.601201,0.107329,
Precision (PPV),7.766667,0.100509,
TP,8.03607,0.090266,
TN,7.471814,0.112959,
FP,7.746835,0.101305,
FN,8.03607,0.090266,
NPV,8.02266,0.090752,
LR+,7.766667,0.100509,
LR-,8.1,0.087983,
ROC AUC,3.333333,0.503668,
PRC AUC,6.366667,0.173388,
PRC APS,7.2,0.125689,
