Balanced Accuracy,Accuracy,F1 Score,Sensitivity (Recall),Specificity,Precision (PPV),TP,TN,FP,FN,NPV,LR+,LR-,ROC AUC,PRC AUC,PRC APS
0.8051219512195122,0.8089171974522293,0.782608695652174,0.72,0.8902439024390244,0.8571428571428571,54,73,9,21,0.776595744680851,6.5600000000000005,0.3145205479452055,0.8540650406504066,0.8795935917476474,0.8455882291883529
0.850650406504065,0.8535031847133758,0.8368794326241135,0.7866666666666666,0.9146341463414634,0.8939393939393939,59,75,7,16,0.8241758241758241,9.215238095238098,0.23324444444444448,0.9320325203252033,0.929328056524725,0.9050643041559172
0.8577777777777778,0.8589743589743589,0.8493150684931506,0.8266666666666667,0.8888888888888888,0.8732394366197183,62,72,9,13,0.8470588235294118,7.439999999999997,0.195,0.8849382716049382,0.9112433393801236,0.8592016713839414
