,Instances,Total Features,Categorical Features,Quantitative Features,Missing Values,Missing Percent,Class 0,Class 1
Original,470.0,56717.0,56717.0,0.0,0.0,0.0,250.0,220.0
C1,470.0,56717.0,56717.0,0.0,0.0,0.0,220.0,250.0
E1,470.0,56717.0,56717.0,0.0,0.0,0.0,220.0,250.0
C2,470.0,56717.0,56717.0,0.0,0.0,0.0,220.0,250.0
C3,470.0,56717.0,56717.0,0.0,0.0,0.0,220.0,250.0
E2,470.0,67259.0,67259.0,0.0,0.0,0.0,220.0,250.0
C4,470.0,67259.0,67259.0,0.0,0.0,0.0,220.0,250.0
