,Balanced Accuracy,Accuracy,F1 Score,Sensitivity (Recall),Specificity,Precision (PPV),TP,TN,FP,FN,NPV,LR+,LR-,ROC AUC,PRC AUC,PRC APS
Decision Tree,0.019192913676913656,0.02132721591884392,0.023085937804936882,0.05773502691896256,0.059433115945990905,0.08036951697788945,2.886751345948129,4.041451884327381,4.041451884327381,2.886751345948129,0.027362000569230712,9.618655484699177,0.049934324607950366,0.03687278232144367,0.03441170810967456,0.06430328637868873
Extreme Gradient Boosting,0.01933660434485302,0.01764123728361131,0.022946692572316532,0.03055050463303896,0.008490445135141526,0.01342675044627039,1.5275252316519468,0.5773502691896257,0.5773502691896257,1.5275252316519468,0.01945205860495413,32.97824737611154,0.03185649488611467,0.0034841873811601474,0.0037502829996749957,0.0037155490236699383
K-Nearest Neighbors,0.013689378264843509,0.012945129081796184,0.016234021247886588,0.023094010767585053,0.01470588235294118,0.022223972485858372,1.1547005383792515,1.0,1.0,1.1547005383792515,0.014586562327548843,30.6100724163361,0.023552691560455214,0.0058939835999003085,0.004411970719145177,0.009067914237712187
Logistic Regression,0.008490445135141526,0.009785597782875051,0.010840045870499098,0.0,0.016980890270283114,0.022131760318935653,0.0,1.1547005383792515,1.1547005383792515,0.0,0.0009703365868733172,9.029758210125745,0.0014871143297308558,0.0022971322576196044,0.0020766119887126043,0.00206216215206646
Random Forest,0.008974203707289621,0.008474576271186418,0.010372090737036058,0.020000000000000018,0.01470588235294118,0.021276595744680826,1.0,1.0,1.0,1.0,0.012410993823297335,31.28246367109439,0.019453777528800367,0.0015282801243254682,0.0014286843367987117,0.0014153370811909349
