,Statistic,P-Value,Sig(*)
Balanced Accuracy,7.970131,0.092678,
Accuracy,7.960273,0.093044,
F1 Score,7.669056,0.104482,
Sensitivity (Recall),10.914815,0.027538,*
Specificity,5.598226,0.231229,
Precision (PPV),4.329004,0.363307,
TP,10.914815,0.027538,*
TN,5.598226,0.231229,
FP,5.598226,0.231229,
FN,10.914815,0.027538,*
NPV,10.311828,0.03549,*
LR+,2.251082,0.689689,
LR-,10.311828,0.03549,*
ROC AUC,11.233333,0.024063,*
PRC AUC,10.933333,0.027324,*
PRC APS,10.133333,0.038241,*
