,Balanced Accuracy,Accuracy,F1 Score,Sensitivity (Recall),Specificity,Precision (PPV),TP,TN,FP,FN,NPV,LR+,LR-,ROC AUC,PRC AUC,PRC APS
Decision Tree,0.8763725490196078,0.8870056497175142,0.8582617463198224,0.8066666666666666,0.946078431372549,0.9244444444444444,40.333333333333336,64.33333333333333,3.6666666666666665,9.666666666666666,0.8707566909733621,8.726666666666674,0.20290598290598294,0.928235294117647,0.9358808578702683,0.9049409057436907
Extreme Gradient Boosting,0.9342156862745098,0.943502824858757,0.9289214800900674,0.8733333333333333,0.9950980392156863,0.9922480620155039,43.666666666666664,67.66666666666667,0.3333333333333333,6.333333333333333,0.9145863671891069,19.040000000000067,0.12746268656716417,0.9892156862745097,0.9880197283598573,0.988121821952528
K-Nearest Neighbors,0.9293137254901961,0.9378531073446328,0.9224981135634787,0.8733333333333333,0.9852941176470589,0.977938808373591,43.666666666666664,67.0,1.0,6.333333333333333,0.913777270421106,30.146666666666736,0.12857832051861903,0.9871078431372549,0.9866396324706894,0.9827129244848078
Logistic Regression,0.9403921568627451,0.943502824858757,0.9325170068027211,0.92,0.9607843137254902,0.9455555555555556,46.0,65.33333333333333,2.6666666666666665,4.0,0.942296918767507,26.066666666666663,0.08328282828282825,0.9811764705882353,0.9805441740621579,0.9806989220312559
Random Forest,0.9426470588235294,0.9491525423728814,0.9374862908532573,0.9,0.9852941176470589,0.9787234042553191,45.0,67.0,1.0,5.0,0.9307194518462124,31.053333333333406,0.10140811096034974,0.9873529411764705,0.9864175070361662,0.986529091989756
