Balanced Accuracy,Accuracy,F1 Score,Sensitivity (Recall),Specificity,Precision (PPV),TP,TN,FP,FN,NPV,LR+,LR-,ROC AUC,PRC AUC,PRC APS
0.95,0.9576271186440678,0.9473684210526316,0.9,1.0,1.0,45,68,0,5,0.9315068493150684,0.0,0.09999999999999998,0.993235294117647,0.9919782937230583,0.9920489991096375
0.9126470588235294,0.923728813559322,0.9032258064516129,0.84,0.9852941176470589,0.9767441860465116,42,67,1,8,0.8933333333333333,57.1200000000002,0.16238805970149256,0.9873529411764707,0.9845199382706458,0.9846621504117674
0.94,0.9491525423728814,0.9361702127659575,0.88,1.0,1.0,44,68,0,6,0.918918918918919,0.0,0.12,0.9870588235294117,0.9875609530858677,0.9876543163361791
