,Balanced Accuracy,Accuracy,F1 Score,Sensitivity (Recall),Specificity,Precision (PPV),TP,TN,FP,FN,NPV,LR+,LR-,ROC AUC,PRC AUC,PRC APS
Decision Tree,0.9576482973908291,0.9596058576950297,0.9631598152469295,0.9880474278064639,0.9272491669751943,0.9396662705486235,82.33333333333333,68.0,5.333333333333333,1.0,0.9853549155630299,15.915966245936117,0.01310149020992397,0.9662812760890002,0.966653817967557,0.9499667015939599
Extreme Gradient Boosting,0.9596085192305691,0.9617153900593391,0.9651218562343681,0.9919678714859438,0.9272491669751943,0.9401703369094674,82.66666666666667,68.0,5.333333333333333,0.6666666666666666,0.9907407407407407,15.890662650602401,0.008376362593230052,0.9746447576947659,0.9700801106497275,0.968154724911739
K-Nearest Neighbors,0.8582305013853124,0.8574908813762318,0.8632003003712415,0.8482023331420921,0.8682586696285326,0.8800464576074332,70.66666666666667,63.666666666666664,9.666666666666666,12.666666666666666,0.8358943089430895,6.513787509344738,0.1742523206378628,0.9399522509565421,0.9453140468227419,0.9285684668587485
Logistic Regression,0.940751874053574,0.9426071098045621,0.9477993166209953,0.9680149168100975,0.9134888312970505,0.9292114695340502,80.66666666666667,67.0,6.333333333333333,2.6666666666666665,0.9614171106037545,15.814794893861148,0.03535970580213123,0.9580268323872878,0.9626719303251333,0.9516105172975651
Random Forest,0.9476559470370329,0.9489493167837117,0.9528207431027178,0.9680627270988716,0.9272491669751943,0.9381499726327313,80.66666666666667,68.0,5.333333333333333,2.6666666666666665,0.9623015873015873,14.048006993962243,0.03461023969143407,0.9711195852679596,0.967933461032889,0.9673892841371992
