,Statistic,P-Value,Sig(*)
Balanced Accuracy,7.819594,0.098415,
Accuracy,8.354839,0.079411,
F1 Score,8.353082,0.079468,
Sensitivity (Recall),10.64135,0.030905,*
Specificity,4.189781,0.380931,
Precision (PPV),5.470975,0.242293,
TP,10.758074,0.029422,*
TN,4.32648,0.363621,
FP,4.205972,0.378848,
FN,10.553321,0.03207,*
NPV,10.451652,0.03347,*
LR+,5.477897,0.241679,
LR-,10.451652,0.03347,*
ROC AUC,4.433333,0.350526,
PRC AUC,2.333333,0.674707,
PRC APS,4.733333,0.315769,
