,Balanced Accuracy,Accuracy,F1 Score,Sensitivity (Recall),Specificity,Precision (PPV),TP,TN,FP,FN,NPV,LR+,LR-,ROC AUC,PRC AUC,PRC APS
Decision Tree,0.9662162162162162,0.9681528662420382,0.9707602339181286,0.9879518072289156,0.9324324324324325,0.9431818181818182,82.0,69.0,5.0,1.0,0.9859154929577465,14.800000000000006,0.012564543889845136,0.9795345766628156,0.9781452625199916,0.9713039103667557
Extreme Gradient Boosting,0.9662162162162162,0.967948717948718,0.970059880239521,1.0,0.9324324324324325,0.9431818181818182,83.0,69.0,5.0,0.0,1.0,14.800000000000006,0.0,0.9783792705066842,0.9820719726139605,0.9812631286427403
K-Nearest Neighbors,0.8533865190491696,0.8535031847133758,0.8606060606060606,0.8554216867469879,0.863013698630137,0.8809523809523809,71.0,63.0,10.0,12.0,0.84,6.508433734939759,0.1698221457257602,0.9415499837186583,0.9465296245426253,0.928051505921875
Logistic Regression,0.9549006838163465,0.9554140127388535,0.9580838323353292,0.9642857142857143,0.9459459459459459,0.9523809523809523,81.0,70.0,4.0,3.0,0.958904109589041,17.831325301204817,0.03820998278829605,0.9716704656463692,0.9686739680986279,0.9689607666061946
Random Forest,0.9545304505694009,0.9551282051282052,0.9580838323353292,0.963855421686747,0.9324324324324325,0.9425287356321839,80.0,69.0,5.0,3.0,0.9583333333333334,14.621686746987956,0.038239916186485076,0.9732629146723882,0.976917488548447,0.9767435317321745
