,Balanced Accuracy,Accuracy,F1 Score,Sensitivity (Recall),Specificity,Precision (PPV),TP,TN,FP,FN,NPV,LR+,LR-,ROC AUC,PRC AUC,PRC APS
Decision Tree,0.02139172245383118,0.0204157003461637,0.018072160007497128,0.011905049915065817,0.034539507861104934,0.026969782766773826,0.5773502691896257,2.6457513110645907,2.516611478423583,1.0,0.014933266503365255,7.62768566042828,0.013378047466919353,0.02298340260931172,0.02105996183774137,0.03899453764012156
Extreme Gradient Boosting,0.012487525446899007,0.010973712954426902,0.009166123953598115,0.013912054679268072,0.034539507861104934,0.025753513406849275,1.5275252316519468,2.6457513110645907,2.516611478423583,1.1547005383792515,0.016037507477489613,7.371756349660711,0.014508285594093848,0.013294316557873755,0.023777383898326364,0.026194005931311617
K-Nearest Neighbors,0.017158210092826642,0.019036270995398133,0.02184595792245886,0.04738785937442314,0.020051072941974488,0.013762218373647002,3.5118845842842465,1.1547005383792515,1.5275252316519468,4.041451884327381,0.041311834359418056,0.7618235221329216,0.0509665811117292,0.0033026169103715546,0.005949168467348878,0.0011835876526570582
Logistic Regression,0.035883299570051916,0.033626795592226255,0.028813938856696995,0.006835199401861092,0.06774998662734281,0.050790547274411825,0.5773502691896257,5.196152422706632,4.932882862316247,0.5773502691896257,0.009793485320670946,9.109423148066934,0.009144918201676273,0.03161113073218914,0.02565273283187848,0.043597051405405596
Random Forest,0.01704682936152128,0.016798630242661605,0.015215426109168585,0.018154820097618388,0.02103253985536543,0.01685254988324098,1.1547005383792515,1.7320508075688772,1.5275252316519468,1.5275252316519468,0.021702395101389424,3.861290010918251,0.020121202760615922,0.013312338856431443,0.02150416018228173,0.02202613536404452
